Channel Number,Frequency,Bias Line,Optically Active,Selected
124,5803113585.93755,-1,0,1
125,5804635273.43755,11,1,1
126,5805858656.25005,11,1,1
127,5807779156.25005,11,1,1
128,5808739515.62505,11,1,1
129,5811345890.62505,11,1,1
130,5818701476.56255,11,1,1
131,5819987929.68755,11,1,1
132,5821789781.25005,11,1,1
133,5823856117.18755,11,1,1
134,5825187781.25005,11,1,1
135,5827063031.25005,-1,0,1
136,5827602601.56254,11,1,1
137,5828551968.75005,-1,0,1
138,5832320875.00006,11,1,1
139,5834997375.00005,11,1,1
140,5837197570.31255,11,1,1
141,5839235976.56255,11,1,1
142,5840205242.18755,11,1,1
143,5842672734.37505,11,1,1
144,5844351539.06255,11,1,1
145,5846208218.75005,11,1,1
146,5848789250.00005,-1,0,1
147,5852775789.06255,11,1,1
148,5854223000.00005,11,1,1
149,5856381304.68755,11,1,1
150,5857851046.87505,11,1,1
151,5859187453.12505,11,1,1
152,5860713664.06256,11,1,1
153,5862230375.00005,11,1,1
154,5864441781.25005,11,1,1
155,5866030945.31255,11,1,1
156,5869512109.37505,11,1,1
157,5871500859.37505,11,1,1
158,5872727515.62505,11,1,1
159,5874319960.93755,11,1,1
160,5876726007.81256,11,1,1
161,5878865445.31255,11,1,1
162,5880708960.93755,11,1,1
163,5911555640.62505,-1,0,1
164,5920207007.81255,8,1,1
165,5921509554.68755,8,1,1
166,5925667546.87505,8,1,1
167,5927678453.12505,8,1,1
168,5929369117.18755,8,1,1
169,5931496515.62506,8,1,1
170,5934106421.87505,-1,0,1
171,5935340406.25006,-1,0,1
172,5937110656.25005,8,1,1
173,5938916460.93755,8,1,1
174,5942943664.06255,8,1,1
175,5944626492.18756,8,1,1
176,5946720304.68755,-1,0,1
177,5948518507.81255,8,1,1
178,5952190359.37505,8,1,1
179,5953458960.93755,8,1,1
180,5957701476.56255,8,1,1
181,5959772273.43755,-1,0,1
182,5961643296.87505,8,1,1
183,5965714171.87505,-1,0,1
184,5967699960.93755,8,1,1
185,5968990976.56255,-1,0,1
186,5971021460.93755,8,1,1
187,5973074476.56255,8,1,1
188,5974772226.56255,8,1,1
189,5976765414.06255,8,1,1
190,5978682890.62505,8,1,1
191,5979734679.68755,8,1,1
192,5991098593.75006,8,1,1
193,5996404804.68755,8,1,1
