,t (s),phase (n_Phi0)
141,9.420654040089087,-0.303645908443799
142,9.487467189309577,-0.08213967067313122
143,9.554280338530067,0.04812026576938555
144,9.621093487750557,0.24229280456169566
145,9.687906636971046,0.3972131144574529
146,9.754719786191536,0.5187876617354672
147,9.821532935412026,-0.8206282674070593
148,9.888346084632516,1.6862330918996729
149,9.955159233853006,0.16759308736688047
150,10.021972383073496,1.7102392089522032
151,10.088785532293986,0.16132968221412675
152,10.155598681514476,1.7212530818257095
153,10.222411830734966,1.6729205416131698
154,10.289224979955456,0.17771443691984246
155,10.356038129175946,-0.28837667429750335
156,10.422851278396436,-0.08036738242406671
157,10.489664427616926,0.01082440654328276
158,10.556477576837416,0.11219357516890405
159,10.623290726057906,0.24794186689124365
160,10.690103875278396,0.3873594838661798
161,10.756917024498886,0.4793992363275743
